"AppName","Id","AppType","Platform","Publisher","CreatedDateTime","LastModifiedDateTime","TargetType","GroupName","GroupMode"
"Adobe Acrobat Pro","b16641a1-2849-4e6d-983d-6b6bb2824470","win32LobApp","Windows","Adobe Inc.","8/20/2025 11:45:56 PM","8/21/2025 3:57:59 PM","Group","AR-Autopilot-Corp","available"
"Adobe Acrobat Reader","49a0a0b6-6b1c-4461-b1a7-716cfbccaa93","win32LobApp","Windows","Adobe Inc.","8/20/2025 11:04:12 AM","8/20/2025 7:46:35 PM","Group","AR-Autopilot-Corp","required"
"Adobe Acrobat Reader: Edit PDF","e21645ca-4576-4f7d-bc56-5c11a64abd52","iosVppApp","iOS/iPadOS","Adobe Inc.","5/2/2025 3:35:35 PM","6/1/2025 6:05:53 AM","Group","Property Device Group - iPadOS (A3354 A16)","required"
"Apartment Snapshot","ee96964b-604b-4865-bf75-a8df6c126089","iosVppApp","iOS/iPadOS",,"7/24/2025 3:42:07 PM","7/24/2025 3:42:07 PM","Group","Property Device Group - iPadOS (A3354 A16)","required"
"Apartments.com Rental Finder","c766365a-3d36-4e88-a496-0cabca779999","iosVppApp","iOS/iPadOS",,"9/5/2025 7:42:08 PM","9/5/2025 7:42:08 PM","(none)","",""
"Datto RMM","e092063c-1fd8-43b0-b6b6-e47e37846b69","win32LobApp","Windows","Datto","8/22/2025 3:36:53 PM","8/22/2025 3:56:28 PM","Group","AR-Autopilot-Corp","required"
"Egnyte Desktop App","37bad06d-d00f-4e1b-9aeb-0dd254c666aa","win32LobApp","Windows","Egnyte","8/18/2025 3:33:56 PM","8/20/2025 11:49:21 PM","Group","AR-Autopilot-Corp","available"
"Google Chrome","891aa553-7d9d-4190-8f1a-c180ff272358","iosVppApp","iOS/iPadOS","Google LLC","5/2/2025 3:35:36 PM","5/2/2025 3:35:36 PM","(none)","",""
"Google Chrome","0e56ba2b-034b-4a3a-b7d2-d7a853d29461","win32LobApp","Windows","Google","8/20/2025 7:52:40 PM","8/20/2025 7:52:40 PM","Group","AR-Autopilot-Corp","available"
"Happy Property: Maintenance","8a433323-dcc9-42b7-8dc5-9fe95147feb6","iosVppApp","iOS/iPadOS",,"7/24/2025 3:43:38 PM","7/24/2025 3:43:38 PM","Group","Property Device Group - iPadOS (A3354 A16)","required"
"Inspections by HappyCo","166d9021-7ac7-489f-a815-e107476793c8","iosVppApp","iOS/iPadOS","Happy Inspector","5/5/2025 12:57:11 AM","6/1/2025 6:05:54 AM","Group","Property Device Group - iPadOS (A3354 A16)","uninstall"
"Mac Edge - Assigned","202d5f04-36c1-49d2-bcbc-bcc10fa46764","macOSMicrosoftEdgeApp","macOS","Microsoft","7/5/2025 10:52:22 PM","7/5/2025 10:52:22 PM","Group","AR-Intune-Users","required"
"Mac Office 365 - Assigned","b6b19b64-94a2-4616-9bb8-f1225b5ffb66","macOSOfficeSuiteApp","macOS","Microsoft","7/5/2025 10:52:20 PM","7/5/2025 10:52:20 PM","Group","AR-Intune-Users","required"
"Microsoft Edge for Windows 10 and later","49b120a6-6a5b-4fb5-a84f-8805014faea8","windowsMicrosoftEdgeApp","Windows","Microsoft","8/20/2025 10:32:03 AM","8/20/2025 11:10:36 AM","Group","AR-Autopilot-Corp","required"
"Microsoft Edge: AI Browser","43328c82-d49f-4ca7-92e5-f4529952296f","iosVppApp","iOS/iPadOS","Microsoft Corporation","5/5/2025 12:51:31 AM","6/1/2025 6:05:54 AM","Group","Property Device Group - iPadOS (A3354 A16)","required"
"Microsoft Outlook","065f63bf-869d-478d-9731-a45e0616c33a","iosVppApp","iOS/iPadOS","Microsoft Corporation","5/6/2025 10:38:55 PM","6/1/2025 6:05:54 AM","Group","Property Device Group - iPadOS (A3354 A16)","required"
"Microsoft-Project","9a44fead-1d7a-4503-b146-73d24895f615","win32LobApp","Windows","Microsoft","7/5/2025 10:52:35 PM","8/21/2025 3:26:31 PM","Group","AR-Autopilot-Corp","available"
"Microsoft-Project","9a44fead-1d7a-4503-b146-73d24895f615","win32LobApp","Windows","Microsoft","7/5/2025 10:52:35 PM","8/21/2025 3:26:31 PM","Group","AR-Project-Uninstall","uninstall"
"Microsoft-Visio","11fb16fc-bf6b-42bd-a42d-7815dd8d873e","win32LobApp","Windows","Microsoft","7/5/2025 10:53:51 PM","8/20/2025 10:24:57 PM","Group","AR-Autopilot-Corp","available"
"Microsoft-Visio","11fb16fc-bf6b-42bd-a42d-7815dd8d873e","win32LobApp","Windows","Microsoft","7/5/2025 10:53:51 PM","8/20/2025 10:24:57 PM","Group","AR-Visio-Uninstall","uninstall"
"Nestio","e4fea58e-2fa0-4003-8c9a-bcef8fb7cdb8","iosVppApp","iOS/iPadOS",,"9/5/2025 7:49:17 PM","9/5/2025 7:49:17 PM","Group","Property Device Group - iPadOS (A3354 A16)","required"
"Notepad ++","8341893f-4b1d-46b2-bd13-0a437ef3b8cc","win32LobApp","Windows","Notepad ++","8/21/2025 6:06:18 PM","8/21/2025 6:24:24 PM","Group","AR-Autopilot-Corp","available"
"Office 365","bfb67995-7677-46e6-addd-4640c70bcf4a","win32LobApp","Windows","Microsoft","7/13/2025 7:16:39 PM","7/13/2025 7:18:45 PM","Group","AR-Autopilot-Corp","required"
"Paylocity","9fc907b1-9fdc-4964-a44c-db8888bed7b1","iosVppApp","iOS/iPadOS","Paylocity Corporation","5/6/2025 10:38:55 PM","6/1/2025 6:05:54 AM","Group","Property Device Group - iPadOS (A3354 A16)","required"
"Power Pro","aee7d22b-2ba2-4b5f-a298-f6d4215b0cb0","iosVppApp","iOS/iPadOS","Power Leasing Systems, Inc.","5/2/2025 3:35:35 PM","6/1/2025 6:05:53 AM","Group","Property Device Group - iPadOS (A3354 A16)","required"
"PowerShell 7-x64","7ea09ebe-04dc-44f6-b146-2ee00bd460d7","win32LobApp","Windows","xcv","9/11/2025 9:30:50 AM","9/11/2025 9:33:05 AM","(none)","",""
"Remove Shortcuts App","0869c934-dcf7-414e-94fc-6178f9ab32ba","win32LobApp","Windows","Avanti Residential","8/20/2025 8:28:07 PM","8/20/2025 8:28:07 PM","Group","AR-Autopilot-Corp","required"
